name,taxonomy,imageURL,remarks,temprange,phRange,detailsUrl
Payara,Hydrolycus scomberoides,https://upload.wikimedia.org//wikipedia/commons/a/a3/Hydrolycus_scomberoides_by_OpenCage.jpg,,,,https://en.wikipedia.org//wiki/Hydrolycus_scomberoides
Pink-tail chalceus,Chalceus macrolepidotus,https://upload.wikimedia.org//wikipedia/commons/7/79/Chalceus_macrolepidotus.jpg,,,,https://en.wikipedia.org//wiki/Chalceus_macrolepidotus
Red wolf fish,Erythrinus erythrinus,https://upload.wikimedia.org//wikipedia/commons/4/4c/Erythrinus_erythrinus.jpg,,,,
Red tail barracuda,Acestrorhynchus falcatus,https://upload.wikimedia.org//wikipedia/commons/3/32/Acestrorhynchus_falcatus_Aquarium_tropical_du_Palais_de_la_Porte_Dor%C3%A9e_10_04_2016.jpg,,,,
Spotted headstander,Chilodus punctatus,https://upload.wikimedia.org//wikipedia/commons/0/0f/Chilodus_punctatus.jpg,,,,
Sunshine peacock cichlid,Aulonocara baenschi,https://upload.wikimedia.org//wikipedia/commons/0/0a/Aulonocara_hansbaenschi.jpg,,,,https://en.wikipedia.org//wiki/Aulonocara_baenschi
Pale usisya aulonocara,Aulonocara steveni,https://upload.wikimedia.org//wikipedia/commons/4/4e/Aulonocara_steveni_Usisya.jpg,,,,https://en.wikipedia.org//wiki/Aulonocara_steveni
Red fin hap,Copadichromis borleyi,https://upload.wikimedia.org//wikipedia/commons/d/d8/Copadichromis_borleyi2.jpg,,,,
Eureka red peacock,Aulonocara jacobfreibergi,https://upload.wikimedia.org//wikipedia/commons/e/e8/Aulonocara_jacobfreigi.jpg,,,,
Spilo,Champsochromis spilorhynchus,,,,,
"Blue dolphin cichlid, lumphead cichlid",Cyrtocara moorii,https://upload.wikimedia.org//wikipedia/commons/2/29/Cyrtocara_moorii.jpg,,,,https://en.wikipedia.org//wiki/Cyrtocara_moorii
"Afra cichlid, dogtooth cichild",Cynotilapia afra,https://upload.wikimedia.org//wikipedia/commons/c/cf/Cynotilapia_afra.jpg,,,,
"Rusty cichlid, lavender cichild",Iodotropheus sprengerae,https://upload.wikimedia.org//wikipedia/commons/c/c7/Iodotropheus_sprengerae.jpg,,,,
"Fuelleborn's cichlid, Blue mbuna",Labeotropheus fuelleborni,https://upload.wikimedia.org//wikipedia/commons/e/e7/Labeotropheus_fuelleborni_crop.png,,,,https://en.wikipedia.org//wiki/Labeotropheus_fuelleborni
Electric yellow cichlid,Labidochromis caeruleus,https://upload.wikimedia.org//wikipedia/commons/b/b1/Electric_Yellow_Lab_Cichlid.jpg,,,,
Electric blue cichlid,Sciaenochromis fryeri,https://upload.wikimedia.org//wikipedia/commons/1/18/Fryeri2.jpg,,,,
Malawi eyebiter,Dimidiochromis compressiceps,https://upload.wikimedia.org//wikipedia/commons/6/68/Cichlidae_-_Dimidiochromis_compressiceps.JPG,,,,https://en.wikipedia.org//wiki/Dimidiochromis_compressiceps
"Hongi, Red-top kimpumpa","Labidochromis sp. ""Hongi""",https://upload.wikimedia.org//wikipedia/commons/7/7a/Labidochromis_sp_hongi.jpg,,,,https://en.wikipedia.org//wiki/Labidochromis_sp._Hongi
Yellow Top Mbamba,"Labidochromis sp. ""Mbamba Bay""",,,,,https://en.wikipedia.org//wiki/Labidochromis_sp._%22Mbamba_Bay%22
"Auratus cichlid, Malawi golden cichlid",Melanochromis auratus,https://upload.wikimedia.org//wikipedia/commons/4/40/Melanochromis_auratus_%28female%29.jpg,,,,
Chipokee cichlid,Melanochromis chipokae,,,,,
"Blue johanni cichlid, Maingano",Melanochromis cyaneorhabdos,https://upload.wikimedia.org//wikipedia/commons/1/11/Melanochromis_cyaneorhabdos.jpg,,,,https://en.wikipedia.org//wiki/Melanochromis_cyaneorhabdos
Pearl of Likoma,Melanochromis joanjohnsonae,https://upload.wikimedia.org//wikipedia/commons/f/f4/Melanochromis_joanjohnsonae.jpg,,,,https://en.wikipedia.org//wiki/Melanochromis_joanjohnsonae
Aurora,Melanochromis aurora,,,,,
Red zebra cichlid,Metriaclima estherae,https://upload.wikimedia.org//wikipedia/commons/7/73/Pyszczak.jpg,,,,https://en.wikipedia.org//wiki/Metriaclima_estherae
"Cobalt blue cichlid, cobalt zebra cichlid",Maylandia callainos,https://upload.wikimedia.org//wikipedia/commons/e/e0/Cobaltblue1.jpg,,,,
Kenyi cichlid,Maylandia lombardoi,https://upload.wikimedia.org//wikipedia/commons/f/f1/Maylandia_lombardoi.jpg,,,,
Fusco,Nimbochromis fuscotaeniatus,https://upload.wikimedia.org//wikipedia/commons/9/9a/Nimbochromis_Fuscotaeniatus_male.jpg,,,,
Livingston's cichlid,Nimbochromis livingstonii,https://upload.wikimedia.org//wikipedia/commons/b/b2/Adult_male_livingstonii.png,,,,
Kaligono,Nimbochromis polystigma,https://upload.wikimedia.org//wikipedia/commons/8/8d/Polystigma.jpg,,,,
"Venustus cichlid, giraffe cichild",Nimbochromis venustus,https://upload.wikimedia.org//wikipedia/commons/a/a2/Nimbochromis_venustus.JPG,,,,
Red empress cichlid,Protomelas taeniolatus,https://upload.wikimedia.org//wikipedia/commons/0/02/Protomelas_taeniolatus_by_Derek_Ramsey.jpg,,,,
"Bumblebee cichlid, hornet cichlid",Pseudotropheus crabro,https://upload.wikimedia.org//wikipedia/commons/2/29/Pseudotropheus_Crabo_Male.JPG,,,,
Yellow-tail acei,Pseudotropheus acei,https://upload.wikimedia.org//wikipedia/commons/0/0b/Yellow_tailed_acei.jpg,,,,https://en.wikipedia.org//wiki/Pseudotropheus_acei
Johanni cichlid,Pseudotropheus johannii,https://upload.wikimedia.org//wikipedia/commons/a/a4/Melanochromis_johanni_Male.jpg,,,,
Dwarf Mbuna,Pseudotropheus demasoni,https://upload.wikimedia.org//wikipedia/commons/4/48/Pseudotropheus_demasoni.jpg,,,,
Saulosi,Pseudotropheus saulosi,https://upload.wikimedia.org//wikipedia/commons/e/ee/Pseudotropheus_saulosi.jpg,,,,
Malawi barracuda,Rhampsochromis cf. macrophthalmus,,,,,
Frontosa cichild,Cyphotilapia frontosa,https://upload.wikimedia.org//wikipedia/commons/8/86/Cyphotilapia_frontosa_by_Ark.jpg,,,,
Frontosa cichild,Cyphotilapia gibberosa,https://upload.wikimedia.org//wikipedia/commons/f/f1/Cyphotilapia_gibberosa_-_GRB.jpg,,,,
Julie cichlid,Julidochromis dickfeldi,https://upload.wikimedia.org//wikipedia/commons/a/a9/Julidochromis_dickfeldi.jpg,,,,https://en.wikipedia.org//wiki/Julie_cichlid
Masked Julie,Julidochromis marlieri,https://upload.wikimedia.org//wikipedia/commons/f/f8/Schachbrett-Schlankcichlide.jpg,,,,
Golden Julie,Julidochromis ornatus,https://upload.wikimedia.org//wikipedia/commons/2/27/Julidochromis_ornatus.jpg,,,,https://en.wikipedia.org//wiki/Julie_cichlid
Julie cichlid,Julidochromis regani,https://upload.wikimedia.org//wikipedia/commons/1/12/Julidochromis_regani_adult.jpg,,,,https://en.wikipedia.org//wiki/Julie_cichlid
Julie cichlid,Julidochromis transcriptus,https://upload.wikimedia.org//wikipedia/commons/a/ac/J_gombe1.jpg,,,,https://en.wikipedia.org//wiki/Julie_cichlid
"Herring cichlid, sardine cichlid",Cyprichromis leptosoma,https://upload.wikimedia.org//wikipedia/commons/0/07/Cyprichromis_leptosoma.jpg,,,,
"Lyretail cichlid, fairy cichlid",Neolamprologus brichardi,https://upload.wikimedia.org//wikipedia/commons/3/3b/Neolamprologus_brichardi.jpg,,,,
Lemon cichlid,Neolamprologus leleupi,https://upload.wikimedia.org//wikipedia/commons/3/33/Neolamprologus_leleupi_2.jpg,,,,
Featherfin,Ophthalmotilapia ventralis,,,,,
Zebra obliquidens,Astatotilapia latifasciata,,,,,https://en.wikipedia.org//wiki/Astatotilapia_latifasciata
Allauad's haplo,Astatoreochromis alluaudi,https://upload.wikimedia.org//wikipedia/commons/5/58/Astatoreochromis-alluaudi-LakeRweru-GB.jpg,,,,https://en.wikipedia.org//wiki/Astatoreochromis_alluaudi
Hippo Point Salmon,"Ptyochromis sp. ""Hippo Point Salmon""",,,,,
Flameback,Pundamilia nyererei,https://upload.wikimedia.org//wikipedia/commons/7/7f/Pundamilia_%28Haplochromis%29_nyererei_male.jpg,,,,https://en.wikipedia.org//wiki/Pundamilia_nyererei
African butterfly cichlid,Anomalochromis thomasi,https://upload.wikimedia.org//wikipedia/commons/c/c7/Anomalochromis_thomasi_2.jpg,,,,https://en.wikipedia.org//wiki/Anomalochromis_thomasi
"Jewel cichlid, two-spotted jewel cichlid",Hemichromis bimaculatus,https://upload.wikimedia.org//wikipedia/commons/3/30/Hemichromis_bimaculatus1.jpg,,,,https://en.wikipedia.org//wiki/Hemichromis_bimaculatus
Lionhead cichlid,Steatocranus casuarius,https://upload.wikimedia.org//wikipedia/commons/d/df/Steatocranus_casuarius.jpg,,,,https://en.wikipedia.org//wiki/Steatocranus_casuarius
"Lifalili jewel cichlid, blood-red jewel cichlid",Hemichromis lifalili,https://upload.wikimedia.org//wikipedia/commons/b/bc/Cichlidae_-_Hemichromis_lifalili.JPG,,,,
"Kribensis, krib",Pelvicachromis pulcher,https://upload.wikimedia.org//wikipedia/commons/6/64/Pelvicachromis_pulcher_%28male%29.jpg,,,,
"Kribensis, krib, many common names because of many subspecies
","Pelvicachromis taeniatus
",https://upload.wikimedia.org//wikipedia/commons/c/c5/Pelvicachromis_taeniatus.JPG,,,,
Guenther's Mouthbrooder,Chromidotilapia guentheri,https://upload.wikimedia.org//wikipedia/commons/6/63/Chromidotilapia_guntheri_Bama_BF_cpl_fry2.jpg,,,,https://en.wikipedia.org//wiki/Chromidotilapia_guentheri
Agassiz's dwarf cichlid,Apistogramma agassizii,https://upload.wikimedia.org//wikipedia/commons/d/d9/Apistogramma_Agassizii.jpg,,,,
Zebra acara,Nannacara adoketa,https://upload.wikimedia.org//wikipedia/commons/8/84/Ivanacara_adoketa5265.jpg,,,,https://en.wikipedia.org//wiki/Nannacara_adoketa
Yellow dwarf cichlid,Apistogramma borellii,https://upload.wikimedia.org//wikipedia/commons/1/1b/Apistogramma_borellii.jpg,,,,
Cockatoo dwarf cichlid,Apistogramma cacatuoides,https://upload.wikimedia.org//wikipedia/commons/f/ff/Cacatuoides.JPG,,,,
Panda dwarf cichlid,Apistogramma nijsseni,https://upload.wikimedia.org//wikipedia/commons/2/2e/Apistogramma_nijsseni_%28f%29.jpg,,,,
Three-Stripe Dwarf Cichlid,Apistogramma trifasciata,https://upload.wikimedia.org//wikipedia/commons/8/86/Apistogramma_trifasciata.jpg,,,,
Two-Stripe Dwarf Cichlid,Apistogramma bitaeniata,https://upload.wikimedia.org//wikipedia/commons/2/2d/Apistogramma_bitaeniata.jpg,,,,https://en.wikipedia.org//wiki/Apistogramma_bitaeniata
Checkerboard Cichlid,Dicrossus filamentosus,https://upload.wikimedia.org//wikipedia/commons/0/0b/Dicrossus_filamentosus_male.png,,,,
"Blue ram, German ram",Mikrogeophagus ramirezi,https://upload.wikimedia.org//wikipedia/commons/0/06/Antennebaarsje.jpg,,,,https://en.wikipedia.org//wiki/Mikrogeophagus_ramirezi
Bolivian ram,Mikrogeophagus altispinosa,https://upload.wikimedia.org//wikipedia/commons/a/a3/Male_altispinosa_dwarf_cichlid_%283229597033%29.jpg,,,,https://en.wikipedia.org//wiki/Mikrogeophagus_altispinosa
Dwarf flag cichlid,Laetacara curviceps,https://upload.wikimedia.org//wikipedia/commons/1/13/Laetacara_curviceps.jpg,,,,
"Midas cichild, red devil cichlid",Amphilophus citrinellus,https://upload.wikimedia.org//wikipedia/commons/d/d9/D%C3%A4hlh%C3%B6lzli_-_Zitronen_Buntbarsch_3.jpg,,,,
Poor man's tropheus,Hypsophrys nematopus,https://upload.wikimedia.org//wikipedia/commons/5/51/Neetroplus_nematopus.png,,,,https://en.wikipedia.org//wiki/Hypsophrys_nematopus
Red devil cichlid,Amphilophus labiatus,https://upload.wikimedia.org//wikipedia/commons/9/96/Amphilophus_labiatum%2C_weiblich.jpg,,,,
Firemouth cichlid,Cichlasoma meeki,https://upload.wikimedia.org//wikipedia/commons/f/f4/Feuermaulbuntbarsch.jpg,,,,https://en.wikipedia.org//wiki/Cichlasoma_meeki
Jack Dempsey cichlid,Rocio octofasciata,https://upload.wikimedia.org//wikipedia/commons/7/74/Cichlasoma_octofasciata.jpg,,,,https://en.wikipedia.org//wiki/Rocio_octofasciata
"Jaguar cichlid, managuense cichlid",Parachromis managuensis,https://upload.wikimedia.org//wikipedia/commons/c/c4/Parachromis_managuensis_2012_G1.jpg,,,,
Mayan cichlid,Mayaheros urophthalmus,https://upload.wikimedia.org//wikipedia/commons/8/8f/Mayan10a.jpg,,,,
Convict cichlid,Archocentrus nigrofasciatus,https://upload.wikimedia.org//wikipedia/commons/6/6c/Archocentrus_nigrofasciatus_female.jpg,,,,https://en.wikipedia.org//wiki/Archocentrus_nigrofasciatus
T-bar cichlid,Amatitlania sajica,,,,,
Wolf cichlid,Parachromis dovii,https://upload.wikimedia.org//wikipedia/commons/3/30/Parachromis_dovii_guapote.JPG,,,,
"Texas cichlid, Rio Grande cichlid",Herichthys cyanoguttatus,https://upload.wikimedia.org//wikipedia/commons/2/25/Herichthys_cyanoguttatum_%28Rio_Grande_Cichlid%29.jpg,,,,https://en.wikipedia.org//wiki/Herichthys_cyanoguttatus
Severum,Heros efasciatus,https://upload.wikimedia.org//wikipedia/commons/8/8a/Heros_severus.JPG,,,,
Green terror,Andinoacara rivulatus,https://upload.wikimedia.org//wikipedia/commons/7/7c/Andinoacara_rivulatus_-_20061112.jpg,,,,https://en.wikipedia.org//wiki/Andinoacara_rivulatus
Blue acara,Andinoacara pulcher,https://upload.wikimedia.org//wikipedia/commons/7/7d/Aequidens_pulcher.jpg,,,,https://en.wikipedia.org//wiki/Andinoacara_pulcher
Thread-finned acara,Acarichthys heckelii,https://upload.wikimedia.org//wikipedia/commons/7/7b/Acarichthys_heckeli.JPG,,,,https://en.wikipedia.org//wiki/Acarichthys_heckelii
Eartheater cichlid,Geophagus altifrons,https://upload.wikimedia.org//wikipedia/commons/6/62/Cichlidae_-_Geophagus_altifrons.JPG,,,,
"Greenstreaked Eartheater, cupid cichlid",Biotodoma cupido,https://upload.wikimedia.org//wikipedia/commons/7/7e/Biotodoma_cupido.png,,,,
Keyhole cichlid,Cleithracara maronii,https://upload.wikimedia.org//wikipedia/commons/c/c6/Akara_z_Maroni.jpg,,,,https://en.wikipedia.org//wiki/Cleithracara_maronii
Flag cichlid,Mesonauta festivus,https://upload.wikimedia.org//wikipedia/commons/9/9d/Mesonauta_festivus.jpg,,,,
Angelfish,Pterophyllum scalare,https://upload.wikimedia.org//wikipedia/commons/6/6e/Freshwater_angelfish_biodome.jpg,,,,
Altum angelfish,Pterophyllum altum,https://upload.wikimedia.org//wikipedia/commons/8/85/Pterophyllum_altum.jpg,,,,
Spotted angelfish,Pterophyllum leopoldi,https://upload.wikimedia.org//wikipedia/commons/9/94/Pterophyllum_leopoldi.jpg,,,,
"Common discus, red discus",Symphysodon discus,https://upload.wikimedia.org//wikipedia/commons/b/b6/Discus_heckel.jpg,,,,
"Blue discus, green discus",Symphysodon aequifasciatus,https://upload.wikimedia.org//wikipedia/commons/7/76/Blue_Discus.jpg,,,,
Chocolate cichlid,Hypselecara temporalis,https://upload.wikimedia.org//wikipedia/commons/7/76/Hypselecara_temporalis.jpg,,,,https://en.wikipedia.org//wiki/Hypselecara_temporalis
Oscar,Astronotus ocellatus,https://upload.wikimedia.org//wikipedia/commons/1/1b/Astronotus_ocellatus_-_side_%28aka%29.jpg,,,,https://en.wikipedia.org//wiki/Astronotus_ocellatus
"Uaru, waroo",Uaru amphiacanthoides,https://upload.wikimedia.org//wikipedia/commons/d/da/Uaru.jpg,,,,
"Peacock bass, butterfly peacock bass",Cichla orinocensis,https://upload.wikimedia.org//wikipedia/commons/e/ef/Peacock_bass.jpg,,,,
Canara pearlspot,Etroplus canarensis,,,,,https://en.wikipedia.org//wiki/Etroplus_canarensis
Green chromide,Etroplus suratensis,https://upload.wikimedia.org//wikipedia/commons/7/78/Etroplus_suratensis.jpg,,,,https://en.wikipedia.org//wiki/Etroplus_suratensis
Orange chromide,Etroplus maculatus,https://upload.wikimedia.org//wikipedia/commons/8/8d/Etroplus_Maculatus.JPG,,,,https://en.wikipedia.org//wiki/Etroplus_maculatus
Pinstripe damba,Paretroplus menarambo,https://upload.wikimedia.org//wikipedia/commons/e/e2/Cichlidae_-_Paretroplus_menarambo.JPG,,,,
Blood parrot cichlid,(Amphilophus citrinellus × Vieja melanurus),https://upload.wikimedia.org//wikipedia/commons/f/f8/BloodParrot.jpg,,,,
Flowerhorn cichlid,Cichlasoma sp.,https://upload.wikimedia.org//wikipedia/commons/e/e1/Flowerhorn.jpg,,,,
Arulius barb,Dawkinsia arulius,,66 °F to 77 °F (19°-25 °C),"6 – 8
",,https://en.wikipedia.org//wiki/Dawkinsia_arulius
"Bigspot barb, Duncker's barb",Barbodes dunckeri,,72 - 85 °F (22 - 29 °C),"6 - 7
",,https://en.wikipedia.org//wiki/Barbodes_dunckeri
Black ruby barb,Pethia nigrofasciatus,https://upload.wikimedia.org//wikipedia/commons/1/19/Black_Ruby_Barb_700.jpg,,,,
Cherry barb,Puntius titteya,https://upload.wikimedia.org//wikipedia/commons/1/1f/Male_Cherry_Barb_700.jpg,,,,https://en.wikipedia.org//wiki/Puntius_titteya
Clipper barb,Enteromius callipterus,,,,,https://en.wikipedia.org//wiki/Enteromius_callipterus
Clown barb,Barbodes everetti,https://upload.wikimedia.org//wikipedia/commons/c/ca/Clownbarbe_2.jpg,,,,https://en.wikipedia.org//wiki/Barbodes_everetti
"Denison's barb, red line torpedo barb",Sahyadria denisonii,https://upload.wikimedia.org//wikipedia/commons/c/c5/Puntius_denisonii_1.jpg,,,,https://en.wikipedia.org//wiki/Sahyadria_denisonii
Gold barb,Barbodes semifasciolatus,https://upload.wikimedia.org//wikipedia/commons/d/d9/Brokat.jpg,,,,https://en.wikipedia.org//wiki/Barbodes_semifasciolatus
Golden barb,Pethia gelius,,,,,https://en.wikipedia.org//wiki/Pethia_gelius
Greenstripe barb,Puntius vittatus,,,,,https://en.wikipedia.org//wiki/Puntius_vittatus
Indian Glass Barb,Laubuka laubuca,,,,,
Melon barb,Puntius fasciatus,,,,,https://en.wikipedia.org//wiki/Puntius_fasciatus
Odessa barb,Puntius padamya,https://upload.wikimedia.org//wikipedia/commons/b/b2/Puntius_Padamya.jpg,,,,https://en.wikipedia.org//wiki/Puntius_padamya
Onespot barb,Puntius terio,,,,,https://en.wikipedia.org//wiki/Puntius_terio
Panda barb,Puntius fasciatus,https://upload.wikimedia.org//wikipedia/commons/2/20/Pandabarben.jpg,,,,https://en.wikipedia.org//wiki/Puntius_fasciatus
Pool barb,Puntius sophore,https://upload.wikimedia.org//wikipedia/commons/6/6e/Puntius_sophore_2.jpg,,,,https://en.wikipedia.org//wiki/Puntius_sophore
Partipentazona barb,Puntigrus partipentazona,https://upload.wikimedia.org//wikipedia/commons/6/6e/Puntius_partipentazona_FOWLER.jpg,,,,
Rosy barb,Pethia conchonius,https://upload.wikimedia.org//wikipedia/en/0/0d/Male_Rosy_Barb.gif,,,,https://en.wikipedia.org//wiki/Pethia_conchonius
Shortfin barb,Barbus brevipinnis,,,,,https://en.wikipedia.org//wiki/Barbus_brevipinnis
Snakeskin barb,Desmopuntius rhomboocellatus,https://upload.wikimedia.org//wikipedia/commons/e/e4/Puntius_rhomboocellatus.jpg,,,,
"Spottedsail barb, dwarf barb",Pethia phutunio,,,,,https://en.wikipedia.org//wiki/Pethia_phutunio
Swamp barb,Puntius chola,https://upload.wikimedia.org//wikipedia/commons/8/8b/Puntius_chola.jpg,,,,https://en.wikipedia.org//wiki/Puntius_chola
Ticto barb,Barbus ticto,,,,,https://en.wikipedia.org//wiki/Barbus_ticto
Tic-tac-toe barb,Puntius stoliczkanus,https://upload.wikimedia.org//wikipedia/commons/2/2c/PuntiusStoliczkanus.jpg,,,,https://en.wikipedia.org//wiki/Puntius_stoliczkanus
"Tiger barb, sumatra barb",Puntius tetrazona,https://upload.wikimedia.org//wikipedia/commons/4/44/Tigerbarbe_Puntius_tetrazona.jpg,,,,https://en.wikipedia.org//wiki/Puntius_tetrazona
"Spanner barb, t-barb",Barbodes lateristriga,https://upload.wikimedia.org//wikipedia/commons/e/e0/Puntius_lateristriga.jpg,,,,https://en.wikipedia.org//wiki/Barbodes_lateristriga
"Fiveband barb, pentazona barb",Desmopuntius hexazona,https://upload.wikimedia.org//wikipedia/commons/e/ea/Desmopuntius_hexazona.jpg,,,,https://en.wikipedia.org//wiki/Desmopuntius_hexazona
Checker barb,Oliotius oligolepis,https://upload.wikimedia.org//wikipedia/commons/7/77/Puntius_oligolepis.jpg,,,,https://en.wikipedia.org//wiki/Oliotius_oligolepis
Tinfoil barb,Barbonymus schwanenfeldii,https://upload.wikimedia.org//wikipedia/commons/1/18/Tinfoil_barbs_01.jpg,,,,https://en.wikipedia.org//wiki/Barbonymus_schwanenfeldii
Bala shark,Balantiocheilus melanopterus,https://upload.wikimedia.org//wikipedia/commons/9/91/Balantiocheilos_melanopterus.JPG,,,,https://en.wikipedia.org//wiki/Balantiocheilus_melanopterus
Black shark,Labeo chrysophekadion,https://upload.wikimedia.org//wikipedia/commons/c/c5/Black_Sharkminnow_%28Labeo_chrysophekadion%29_%288683050709%29.jpg,,,,https://en.wikipedia.org//wiki/Labeo_chrysophekadion
"Siamese algae eater, fringe barb",Crossocheilus oblongus,https://upload.wikimedia.org//wikipedia/commons/1/17/Crossocheilus_siamensis.jpg,,,,https://en.wikipedia.org//wiki/Crossocheilus_oblongus
Flying fox (fish),Epalzeorhynchos kalopterus,https://upload.wikimedia.org//wikipedia/commons/d/de/Epalzeorhynchos_kalopterus.jpg,,,,https://en.wikipedia.org//wiki/Epalzeorhynchos_kalopterus
Red-tailed black shark,Epalzeorhynchos bicolor,https://upload.wikimedia.org//wikipedia/commons/5/51/Epalzeorhynchos_bicolor.jpg,,,,https://en.wikipedia.org//wiki/Epalzeorhynchos_bicolor
Rainbow shark,Epalzeorhynchos frenatum,https://upload.wikimedia.org//wikipedia/commons/b/b1/Fransenlipper.JPG,,,,https://en.wikipedia.org//wiki/Epalzeorhynchos_frenatum
"Cambodian log sucker, false Siamese algae eater",Garra cambodgiensis,https://upload.wikimedia.org//wikipedia/commons/8/81/Crossocheilus_siamensis_pl.jpg,,,,https://en.wikipedia.org//wiki/Garra_cambodgiensis
algae eater,Gyrinocheilus aymonieri,https://upload.wikimedia.org//wikipedia/commons/e/e8/Chinese_algae_eater.jpg,,,,
Espei rasbora,Trigonostigma espei,,,,,https://en.wikipedia.org//wiki/Trigonostigma_espei
Harlequin rasbora,Trigonostigma heteromorpha,https://upload.wikimedia.org//wikipedia/commons/6/63/Trigonostigma_heteromorpha1.jpg,,,,https://en.wikipedia.org//wiki/Trigonostigma_heteromorpha
Glowlight rasbora,Trigonostigma hengeli,https://upload.wikimedia.org//wikipedia/commons/c/ce/Trigonostigma_hengeli.jpg,,,,https://en.wikipedia.org//wiki/Trigonostigma_hengeli
Red-striped rasbora,Trigonopoma pauciperforata,https://upload.wikimedia.org//wikipedia/commons/6/6a/Trigonopoma_pauciperforatum_female.png,"22–29 °C (72–84 °F)
",,,https://en.wikipedia.org//wiki/Trigonopoma_pauciperforata
Dwarf rasbora,Boraras maculatus,https://upload.wikimedia.org//wikipedia/commons/d/d7/Boraras_Maculata.jpg,,,,https://en.wikipedia.org//wiki/Boraras_maculatus
Eyespot rasbora,Brevibora dorsiocellata,https://upload.wikimedia.org//wikipedia/commons/d/dc/Rasbora_dorsiocellata.jpg,,,,https://en.wikipedia.org//wiki/Brevibora_dorsiocellata
Brilliant rasbora,Rasbora einthovenii,https://upload.wikimedia.org//wikipedia/commons/0/05/Rasbora_einthovenii.jpg,,,,https://en.wikipedia.org//wiki/Rasbora_einthovenii
Clown rasbora,Rasbora kalochroma,https://upload.wikimedia.org//wikipedia/commons/9/9b/Rasbora_kalochroma.jpg,,,,https://en.wikipedia.org//wiki/Rasbora_kalochroma
Scissortail rasbora,Rasbora trilineata,https://upload.wikimedia.org//wikipedia/commons/2/26/Rasbora_trilineata.jpg,,,,
Volcano rasbora,Rasbora vulcanus,https://upload.wikimedia.org//wikipedia/commons/a/a1/Rasbora_vulcanus_pair.png,,,,
"Blackline rasbora, red-tailed rasbora",Rasbora borapetensis,https://upload.wikimedia.org//wikipedia/commons/2/26/Redtail.JPG,,,,https://en.wikipedia.org//wiki/Rasbora_borapetensis
Pearl danio,Danio albolineatus,https://upload.wikimedia.org//wikipedia/commons/0/0d/Danio_albolineatus.jpg,,,,https://en.wikipedia.org//wiki/Danio_albolineatus
"Bengal danio, Sind danio",Devario devario,,,,,https://en.wikipedia.org//wiki/Devario_devario
Giant danio,Devario aequipinnatus,https://upload.wikimedia.org//wikipedia/commons/8/81/Devario_aequipinnatus.JPG,,,,https://en.wikipedia.org//wiki/Devario_aequipinnatus
Malabar danio,Devario malabaricus,https://upload.wikimedia.org//wikipedia/commons/1/1c/Danio_sp.jpg,,,,https://en.wikipedia.org//wiki/Devario_malabaricus
Queen danio,Devario regina,,,,,https://en.wikipedia.org//wiki/Devario_regina
Spotted danio,Danio nigrofasciatus,https://upload.wikimedia.org//wikipedia/commons/7/7e/Danio_nigrofasciatus.jpg,,,,https://en.wikipedia.org//wiki/Danio_nigrofasciatus
Turquoise danio,Danio kerri,https://upload.wikimedia.org//wikipedia/commons/e/e5/Danio_kerri.jpg,,,,https://en.wikipedia.org//wiki/Danio_kerri
Zebra danio,Danio rerio,https://upload.wikimedia.org//wikipedia/commons/a/ac/Zebrafisch.jpg,,,,https://en.wikipedia.org//wiki/Danio_rerio
Goldfish,Carassius auratus,https://upload.wikimedia.org//wikipedia/commons/e/e9/Goldfish3.jpg,,,,https://en.wikipedia.org//wiki/Carassius_auratus
"Koi, common carp",Cyprinus carpio,https://upload.wikimedia.org//wikipedia/commons/1/10/Ojiya_Nishikigoi_no_Sato_ac_%283%29.jpg,,,,https://en.wikipedia.org//wiki/Cyprinus_carpio
Bitterling,Rhodeus amarus,https://upload.wikimedia.org//wikipedia/commons/f/fd/Rhodeus_amarus_2008_G1.jpg,,,,https://en.wikipedia.org//wiki/Rhodeus_amarus
White Cloud Mountain minnow,Tanichthys albonubes,https://upload.wikimedia.org//wikipedia/commons/c/c8/White_Cloud_Mountain_Minnow_1.jpg,,,,https://en.wikipedia.org//wiki/Tanichthys_albonubes
Red shiner,Cyprinella lutrensis,https://upload.wikimedia.org//wikipedia/commons/e/e8/Red_shiner.JPG,,,,https://en.wikipedia.org//wiki/Cyprinella_lutrensis
Common dace,Leuciscus leuciscus,https://upload.wikimedia.org//wikipedia/commons/f/f1/Leuciscus_leuciscus.jpg,"39 to 72 °F (4 to 22 °C)
","6.0 to 8.0
",,https://en.wikipedia.org//wiki/Leuciscus_leuciscus
"Rosy red minnow, fathead minnow",Pimephales promelas,https://upload.wikimedia.org//wikipedia/commons/9/92/Rosy_Red_Minnows_fullsize.jpg,"10–21 °C (50–70 °F)
","7.0 - 7.5
",,https://en.wikipedia.org//wiki/Pimephales_promelas
Rainbow shiner,Notropis chrosomus,https://upload.wikimedia.org//wikipedia/commons/a/a7/Rainbow_Shiner.jpg,,,,https://en.wikipedia.org//wiki/Notropis_chrosomus
European minnow,Phoxinus phoxinus,https://upload.wikimedia.org//wikipedia/commons/4/41/Phoxinus.jpg,,,,https://en.wikipedia.org//wiki/Phoxinus_phoxinus
